Title,Title,Category,Price,Instructor,Rating,Learners,Duration_Hours,Difficulty
Online Course,Coursera,ai-at-work,Free / Paid,Meta AI,4.8,435017,39,Advanced
Online Course,Coursera,ai-augmented-decision-making-for-business-leaders,Free / Paid,DeepLearning.AI,4.4,377003,56,Advanced
Online Course,Coursera,ai-augmented-procurement-in-government,Free / Paid,Industry Expert,3.6,30004,17,Intermediate
Online Course,Coursera,ai-automation-and-emerging-technology,Free / Paid,DeepLearning.AI,3.5,36475,24,Intermediate
Online Course,Coursera,ai-automation-for-supply-chain-resilience,Free / Paid,Industry Expert,4.9,419872,54,Advanced
The AI Awakening: Implications for the Economy and Society,Coursera,ai-awakening,Free / Paid,Google Cloud,4.661016949,118,21,Intermediate
AI Basics and Tools for Creativity,Coursera,ai-basics-and-tools-for-creativity,Free / Paid,University Faculty,4.491525424,59,12,Intermediate
Online Course,Coursera,ai-business-ethics,Free / Paid,Microsoft Learn,4.4,313200,32,Advanced
"AI, Business & the Future of Work",Coursera,ai-business-future-of-work,Free / Paid,IBM Team,4.640302903,2377,14,Intermediate
Online Course,Coursera,ai-data-analyze-govern-plan,Free / Paid,University Faculty,4.7,285753,58,Advanced
"Artificial Intelligence Data Fairness and Bias						",Coursera,ai-data-bias,Free / Paid,Google Cloud,4.752066116,121,28,Intermediate
Online Course,Coursera,ai-data-bias-ko,Free / Paid,Google Cloud,4.1,455215,58,Advanced
AI Capstone Project with Deep Learning ,Coursera,ai-deep-learning-capstone,Free / Paid,Meta AI,4.516886931,681,27,Intermediate
Generative AI Deep Research: Strategic AI Edge for Leaders,Coursera,ai-deep-research-for-leaders,Free / Paid,Google Cloud,4.762376238,101,13,Intermediate
Online Course,Coursera,ai-development-with-deepseek-for-developers,Free / Paid,Andrew Ng,4.8,162859,59,Advanced
Online Course,Coursera,ai-digital-marketing-content-creation,Free / Paid,Jose Portilla,3.9,405378,23,Intermediate
Online Course,Coursera,ai-driven-attribution-testing,Free / Paid,Andrew Ng,4,23833,5,Beginner
Online Course,Coursera,ai-driven-electronic-health-records--data-management,Free / Paid,Meta AI,4.5,281554,9,Beginner
"AI, Empathy & Ethics",Coursera,ai-empathy-ethics,Free / Paid,University Faculty,4.605922551,439,59,Advanced
Online Course,Coursera,ai-empowerment-for-small-businesses,Free / Paid,Jose Portilla,4.5,196071,34,Advanced
AI-Enhanced Content Creation:Elevate Copywriting with Humata,Coursera,ai-enhanced-content-creationelevate-copywriting-with-humata,Free / Paid,IBM Team,4.052631579,19,8,Beginner
"AI-Enhanced Copywriting: SurferSEO, Upword and Anyword",Coursera,ai-enhanced-copywriting-surferseo-upword-and-anyword,Free / Paid,Jose Portilla,3.981818182,55,41,Advanced
Online Course,Coursera,ai-enhanced-presentations-captivating-audiences-with-tome,Free / Paid,Google Cloud,4.4,341144,53,Advanced
Online Course,Coursera,ai-enhanced-prospecting-and-sales-techniques,Free / Paid,Andrew Ng,4,103554,31,Advanced
Online Course,Coursera,ai-essentials,Free / Paid,Jose Portilla,4.7,198288,45,Advanced
Online Course,Coursera,ai-essentials1,Free / Paid,Meta AI,3.7,484069,53,Advanced
Online Course,Coursera,ai-ethics,Free / Paid,DeepLearning.AI,4.2,386266,44,Advanced
Artificial Intelligence Ethics in Action,Coursera,ai-ethics-analysis,Free / Paid,Andrew Ng,4.627218935,338,60,Advanced
AI Ethics in Business,Coursera,ai-ethics-business,Free / Paid,Industry Expert,3.615384615,13,44,Advanced
Online Course,Coursera,ai-ethics-for-the-workplace,Free / Paid,Jose Portilla,4.3,365992,9,Beginner
"AI Ethics, Responsible Use, and Creativity",Coursera,ai-ethics-responsible-use-and-creativity,Free / Paid,Jose Portilla,4.696969697,33,30,Intermediate
AI Fundamentals in Financial Services,Coursera,ai-financial-services,Free / Paid,Google Cloud,4.734693878,49,60,Advanced
Online Course,Coursera,ai-first-test-automation-with-functionize-essentials-for-beg,Free / Paid,IBM Team,4,400665,15,Intermediate
Online Course,Coursera,ai-for-audio-and-music,Free / Paid,Microsoft Learn,4.2,65545,58,Advanced
AI for Autonomous Vehicles and Robotics,Coursera,ai-for-autonomous-vehicles-and-robotics,Free / Paid,University Faculty,4.490196078,51,21,Intermediate
Online Course,Coursera,ai-for-brand-visibility,Free / Paid,University Faculty,4.9,253912,49,Advanced
AI for Business: Generation & Prediction,Coursera,ai-for-business-generation-and-prediction,Free / Paid,Google Cloud,4.52991453,117,26,Intermediate
Online Course,Coursera,ai-for-business-leaders,Free / Paid,Meta AI,4.7,402065,20,Intermediate
AI for Course Design,Coursera,ai-for-course-design,Free / Paid,Meta AI,4.225806452,31,32,Advanced
Online Course,Coursera,ai-for-customer-experience-with-chatbots-and-analytics,Free / Paid,Google Cloud,4.4,140472,34,Advanced
Online Course,Coursera,ai-for-cybersecurity,Free / Paid,University Faculty,4.2,263054,38,Advanced
Online Course,Coursera,ai-for-data-analysts,Free / Paid,Microsoft Learn,4,169506,38,Advanced
AI for Decision Makers,Coursera,ai-for-decision-makers,Free / Paid,Google Cloud,4.65,20,31,Advanced
AI for Design and Optimization,Coursera,ai-for-design-and-optimization,Free / Paid,Jose Portilla,4.348484848,66,42,Advanced
Online Course,Coursera,ai-for-dev-interpretability-transparency-pl,Free / Paid,IBM Team,3.7,379084,38,Advanced
Online Course,Coursera,ai-for-developers-interpretability--transparency--franais,Free / Paid,Andrew Ng,4.9,366401,11,Intermediate
Online Course,Coursera,ai-for-developers-interpretability--transparency-ja,Free / Paid,DeepLearning.AI,4.9,452777,18,Intermediate
Online Course,Coursera,ai-for-developers-interpretability--transparency-zhcn,Free / Paid,Google Cloud,4.4,326993,13,Intermediate
Online Course,Coursera,ai-for-developers-interpretability-transparency-portuguse,Free / Paid,Google Cloud,4.2,463133,11,Intermediate
Online Course,Coursera,ai-for-drug-discovery,Free / Paid,IBM Team,4,99836,23,Intermediate
AI for Education (Advanced),Coursera,ai-for-education-advanced,Free / Paid,Andrew Ng,4.285714286,21,43,Advanced
Online Course,Coursera,ai-for-education-basic,Free / Paid,DeepLearning.AI,4.9,190573,8,Beginner
Online Course,Coursera,ai-for-education-intermediate,Free / Paid,DeepLearning.AI,4.6,453073,10,Beginner
AI for Energy and Biomedical Applications,Coursera,ai-for-energy-biomedical-applications,Free / Paid,Industry Expert,4.290322581,31,31,Advanced
AI for Everyday Life,Coursera,ai-for-everyday-life,Free / Paid,DeepLearning.AI,4.725,120,30,Intermediate
AI For Everyone,Coursera,ai-for-everyone,Free / Paid,University Faculty,4.786806678,51329,16,Intermediate
Online Course,Coursera,ai-for-everyone-ai-automation-with-claude,Free / Paid,Microsoft Learn,3.8,415146,58,Advanced
Online Course,Coursera,ai-for-everyone-ai-collaboration-with-claude,Free / Paid,Jose Portilla,4.7,416201,7,Beginner
Online Course,Coursera,ai-for-everyone-ai-fundamentals-with-claude,Free / Paid,University Faculty,3.8,251335,59,Advanced
Ø§ÙØ°ÙØ§Ø¡ Ø§ÙØ§ØµØ·ÙØ§Ø¹Ù ÙÙØ¬ÙÙØ¹,Coursera,ai-for-everyone-ar,Free / Paid,Google Cloud,4.783558793,961,39,Advanced
KI fÃ¼r alle,Coursera,ai-for-everyone-de,Free / Paid,Meta AI,4.782608696,23,58,Advanced
IA Para Todos (EspaÃ±ol),Coursera,ai-for-everyone-es,Free / Paid,Jose Portilla,4.845474614,1359,49,Advanced
LâIA pour tous,Coursera,ai-for-everyone-fr,Free / Paid,DeepLearning.AI,4.666666667,45,7,Beginner
Online Course,Coursera,ai-for-everyone-ja,Free / Paid,Microsoft Learn,4.9,192660,12,Intermediate
IA Para Todos (PortuguÃªs),Coursera,ai-for-everyone-pt,Free / Paid,Google Cloud,4.88,25,40,Advanced
ÐÑÐºÑÑÑÑÐ²ÐµÐ½Ð½ÑÐ¹ ÐÐ½ÑÐµÐ»Ð»ÐµÐºÑ (ÐÐ) Ð´Ð»Ñ Ð²ÑÐµÑ,Coursera,ai-for-everyone-ru,Free / Paid,IBM Team,4.878205128,312,60,Advanced
Online Course,Coursera,ai-for-executives,Free / Paid,Google Cloud,4.1,69861,46,Advanced
Online Course,Coursera,ai-for-executives--strategy,Free / Paid,Jose Portilla,3.8,290372,59,Advanced
Online Course,Coursera,ai-for-executives-ai-for-crm,Free / Paid,Andrew Ng,4.4,100196,6,Beginner
Online Course,Coursera,ai-for-executives-course-2,Free / Paid,Andrew Ng,4.5,421120,57,Advanced
Online Course,Coursera,ai-for-game-design-agent,Free / Paid,Microsoft Learn,4.7,445961,5,Beginner
AI for Grant Writing,Coursera,ai-for-grant-writing,Free / Paid,Meta AI,4.388888889,36,27,Intermediate
Online Course,Coursera,ai-for-health-nursing,Free / Paid,University Faculty,4.5,9927,24,Intermediate
Online Course,Coursera,ai-for-healthcare,Free / Paid,Microsoft Learn,4.2,133141,39,Advanced
Online Course,Coursera,ai-for-healthcare-leaders,Free / Paid,Jose Portilla,3.6,202151,53,Advanced
Online Course,Coursera,ai-for-healthcare-professionals,Free / Paid,Jose Portilla,4.8,34611,58,Advanced
Online Course,Coursera,ai-for-human-resources,Free / Paid,Industry Expert,4.3,351138,59,Advanced
AI for Knowledge Workers,Coursera,ai-for-knowledge-workers,Free / Paid,Microsoft Learn,4.47027027,185,45,Advanced
AI for Lawyers: Communication and Creativity,Coursera,ai-for-lawyers-communication-and-creativity,Free / Paid,University Faculty,4.538461538,13,56,Advanced
AI for Lawyers: Learning and Leading,Coursera,ai-for-lawyers-learning-and-leading,Free / Paid,Industry Expert,4.32,25,55,Advanced
Online Course,Coursera,ai-for-lawyers-obstacles-and-opportunities,Free / Paid,Meta AI,4.6,209634,20,Intermediate
Online Course,Coursera,ai-for-lawyers-time-and-tasks,Free / Paid,IBM Team,4.3,416029,19,Intermediate
Online Course,Coursera,ai-for-legal-practice,Free / Paid,Industry Expert,4,290836,32,Advanced
Online Course,Coursera,ai-for-marketing-swot-analysis,Free / Paid,Andrew Ng,4.1,310023,7,Beginner
AI for Medical Diagnosis,Coursera,ai-for-medical-diagnosis,Free / Paid,Jose Portilla,4.674305217,2051,40,Advanced
Online Course,Coursera,ai-for-medical-professionals,Free / Paid,Meta AI,3.9,494153,48,Advanced
AI for Medical Prognosis ,Coursera,ai-for-medical-prognosis,Free / Paid,Industry Expert,4.706766917,798,11,Intermediate
AI For Medical Treatment,Coursera,ai-for-medical-treatment,Free / Paid,IBM Team,4.676082863,531,19,Intermediate
Online Course,Coursera,ai-for-mining,Free / Paid,Meta AI,4.8,462602,49,Advanced
Online Course,Coursera,ai-for-player-performance-and-training,Free / Paid,University Faculty,3.6,183438,31,Advanced
Online Course,Coursera,ai-for-policy-maker,Free / Paid,Meta AI,4.2,327387,60,Advanced
AI for Professional Communication,Coursera,ai-for-professional-communication,Free / Paid,Jose Portilla,4.807692308,26,44,Advanced
AI for Project Managers and Scrum Masters,Coursera,ai-for-project-managers-and-scrum-masters,Free / Paid,Jose Portilla,4.21641791,134,59,Advanced
Online Course,Coursera,ai-for-software-development,Free / Paid,Google Cloud,4.2,68427,34,Advanced
Online Course,Coursera,ai-for-storytelling,Free / Paid,Google Cloud,3.5,463067,57,Advanced
Online Course,Coursera,ai-for-strategic-decision-intelligence,Free / Paid,University Faculty,3.7,115657,29,Intermediate
Online Course,Coursera,ai-for-vibe-coding,Free / Paid,University Faculty,4.8,246026,31,Advanced
Online Course,Coursera,ai-for-video-production,Free / Paid,Google Cloud,3.9,213787,28,Intermediate
Online Course,Coursera,ai-foundations-and-design-thinking,Free / Paid,University Faculty,4,247807,36,Advanced
Online Course,Coursera,ai-foundations-for-all,Free / Paid,IBM Team,3.6,279013,33,Advanced
Online Course,Coursera,ai-foundations-for-creativity,Free / Paid,Meta AI,5,36762,35,Advanced
Online Course,Coursera,ai-foundations-industry-overview-for-telecommunication,Free / Paid,Google Cloud,3.7,133691,43,Advanced
Online Course,Coursera,ai-foundations-prompt-engineering-with-chatgpt,Free / Paid,Industry Expert,4.7,115342,25,Intermediate
Online Course,Coursera,ai-foundations-python-build-visualize,Free / Paid,Industry Expert,4.7,433087,60,Advanced
AI Fundamentals and the Cloud,Coursera,ai-fundamentals-and-the-cloud,Free / Paid,University Faculty,4.514705882,68,7,Beginner
AI Governance,Coursera,ai-governance,Free / Paid,Jose Portilla,4.847222222,72,36,Advanced
Online Course,Coursera,ai-hallucinations,Free / Paid,Industry Expert,4.4,169987,47,Advanced
Online Course,Coursera,ai-image-generation,Free / Paid,Industry Expert,3.8,361887,55,Advanced
Online Course,Coursera,ai-in-clinical-decision-support--diagnostics,Free / Paid,IBM Team,4.1,274364,46,Advanced
Online Course,Coursera,ai-in-digital-marketing,Free / Paid,Andrew Ng,3.5,193826,26,Intermediate
Online Course,Coursera,ai-in-fan-engagement,Free / Paid,Microsoft Learn,4.4,364976,49,Advanced
Online Course,Coursera,ai-in-finance-agent,Free / Paid,Google Cloud,4.4,203656,18,Intermediate
Online Course,Coursera,ai-in-government,Free / Paid,Microsoft Learn,3.9,489982,9,Beginner
Online Course,Coursera,ai-in-healthcare-capstone,Free / Paid,DeepLearning.AI,3.8,486294,27,Intermediate
Online Course,Coursera,ai-in-real-estate,Free / Paid,IBM Team,4.6,225905,38,Advanced
AI in Supply Chain Forecasting and Risk Management,Coursera,ai-in-supply-chain-forecasting-and-risk-management,Free / Paid,Microsoft Learn,4.416666667,12,8,Beginner
AI in Workforce Management,Coursera,ai-in-workforce-management,Free / Paid,Google Cloud,4.833333333,18,37,Advanced
Online Course,Coursera,ai-infrastructure-cloud-gpus,Free / Paid,University Faculty,4.3,446191,27,Intermediate
Online Course,Coursera,ai-infrastructure-cloud-tpus,Free / Paid,Meta AI,4.9,439592,59,Advanced
Online Course,Coursera,ai-infrastructure-deployment-types,Free / Paid,Industry Expert,3.6,370668,7,Beginner
Online Course,Coursera,ai-infrastructure-introduction-to-ai-hypercomputer,Free / Paid,Meta AI,3.8,287550,41,Advanced
Online Course,Coursera,ai-infrastructure-networking-techniques,Free / Paid,Google Cloud,4.2,473491,52,Advanced
AI Infrastructure and Operations Fundamentals,Coursera,ai-infrastructure-operations-fundamentals,Free / Paid,Microsoft Learn,4.622516556,453,37,Advanced
Online Course,Coursera,ai-infrastructure-storage-options,Free / Paid,Meta AI,4.6,101893,36,Advanced
Online Course,Coursera,ai-innovation-in-healthcare,Free / Paid,University Faculty,4.1,353969,28,Intermediate
Online Course,Coursera,ai-innovations-with-open-tools-in-healthcare-processes,Free / Paid,Andrew Ng,5,135028,47,Advanced
Online Course,Coursera,ai-integration-in-healthcare,Free / Paid,University Faculty,4.5,314462,54,Advanced
Online Course,Coursera,ai-integration-in-healthcare-patient-data,Free / Paid,University Faculty,4.1,52629,32,Advanced
Online Course,Coursera,ai-keyword-research--intent,Free / Paid,Microsoft Learn,4.7,78603,36,Advanced
AI & Law ,Coursera,ai-law,Free / Paid,Andrew Ng,4.7070312,768,12,Intermediate
Online Course,Coursera,ai-machine-learning-apply-build-solve,Free / Paid,Industry Expert,3.8,485349,15,Intermediate
Online Course,Coursera,ai-marketing-automation,Free / Paid,Andrew Ng,4,481488,5,Beginner
Online Course,Coursera,ai-marketing-brand-growth,Free / Paid,Industry Expert,4.8,374403,8,Beginner
AI Materials,Coursera,ai-materials,Free / Paid,Microsoft Learn,4.714285714,49,55,Advanced
Online Course,Coursera,ai-model-risk-management,Free / Paid,Meta AI,4.1,214536,30,Intermediate
AI in National Security: Integrating Artificial Intelligence into Public Sector Missions,Coursera,ai-national-security,Free / Paid,Meta AI,4.592,125,10,Beginner
AI para docentes: Transforma tu enseÃ±anza con ChatGPT,Coursera,ai-para-docentes-enseanza-con-chatgpt,Free / Paid,Industry Expert,4.866197183,710,60,Advanced
Online Course,Coursera,ai-powered-content-creation-for-social-media-success,Free / Paid,Andrew Ng,4.2,129798,24,Intermediate
AI-Powered Data Analysis: A Practical Introduction,Coursera,ai-powered-data-analysis-a-practical-introduction,Free / Paid,University Faculty,4.444444444,18,12,Intermediate
Online Course,Coursera,ai-powered-design-with-canva-magic-studio,Free / Paid,Jose Portilla,4.8,93744,6,Beginner
Online Course,Coursera,ai-powered-exploration-with-adobe-firefly-boards,Free / Paid,Jose Portilla,4.9,221860,42,Advanced
AI-Powered Software and System Design,Coursera,ai-powered-software-and-system-design,Free / Paid,Microsoft Learn,4.7,170,57,Advanced
Online Course,Coursera,ai-predictive-analytics-with-python,Free / Paid,IBM Team,4.7,308801,28,Intermediate
Online Course,Coursera,ai-presentation-generation-comprehensive-guide,Free / Paid,IBM Team,4,2450,44,Advanced
Online Course,Coursera,ai-principles-with-edge-computing,Free / Paid,Microsoft Learn,3.7,498668,32,Advanced
Online Course,Coursera,ai-privacy-and-convenience,Free / Paid,DeepLearning.AI,3.8,471280,21,Intermediate
Online Course,Coursera,ai-privacy-and-convenience-ko,Free / Paid,Google Cloud,3.8,369558,12,Intermediate
Managing AI Projects: From Strategy to Delivery,Coursera,ai-project-management-aipm,Free / Paid,Meta AI,4.585365854,41,27,Intermediate
Online Course,Coursera,ai-project-milestones-with-confidence,Free / Paid,DeepLearning.AI,4,210649,48,Advanced
Online Course,Coursera,ai-projects-plan-track-deliver,Free / Paid,IBM Team,4.4,131199,48,Advanced
Online Course,Coursera,ai-prompts-for-seo-growth,Free / Paid,Google Cloud,4.2,71379,32,Advanced
AI Python for Beginners,Coursera,ai-python-for-beginners,Free / Paid,Jose Portilla,4.815668203,217,54,Advanced
Online Course,Coursera,ai-risk-analyze-evaluate-register,Free / Paid,Microsoft Learn,4.4,17325,47,Advanced
Online Course,Coursera,ai-security,Free / Paid,IBM Team,5,210342,10,Beginner
Online Course,Coursera,ai-seo-content-creation,Free / Paid,DeepLearning.AI,3.6,46401,26,Intermediate
Online Course,Coursera,ai-sound-generation-for-business-communication,Free / Paid,Jose Portilla,4.8,446265,27,Intermediate
AI Concepts and Strategy,Coursera,ai-strategy,Free / Paid,Microsoft Learn,4.555555556,18,46,Advanced
Online Course,Coursera,ai-technologies-in-healthcare,Free / Paid,Jose Portilla,4.7,436544,58,Advanced
Online Course,Coursera,ai-tools-data-and-experience-design,Free / Paid,IBM Team,4.7,103451,9,Beginner
Online Course,Coursera,ai-tools-for-creatives-powered-by-adobe-firefly,Free / Paid,Google Cloud,4.6,11422,33,Advanced
Online Course,Coursera,ai-video,Free / Paid,Google Cloud,3.7,237558,45,Advanced
Online Course,Coursera,ai-video-avatars-launch-your-automated-social-media-machine,Free / Paid,IBM Team,4.9,44211,8,Beginner
AI Video Creation: A Beginner's Guide to Realistic AI Videos,Coursera,ai-video-creation-a-beginners-guide-to-realistic-ai-videos,Free / Paid,Jose Portilla,3.411764706,17,33,Advanced
Online Course,Coursera,ai-video-generation-a-comprehensive-guide,Free / Paid,Microsoft Learn,3.7,236223,57,Advanced
Online Course,Coursera,ai-with-python-apply-implement-ml-models,Free / Paid,University Faculty,4.6,183513,37,Advanced
äººå·¥æºæ§ï¼æ©å¨å­¸ç¿èçè«åºç¤ (Artificial Intelligence - Learning & Theory),Coursera,ai2,Free / Paid,Andrew Ng,4.596774194,62,5,Beginner
Online Course,Coursera,aibiz-exam-aiz-210-cnx0017,Free / Paid,IBM Team,4.9,117735,49,Advanced
AIDS: Fear and Hope,Coursera,aids-fear-hope,Free / Paid,Google Cloud,4.802816901,426,57,Advanced
AI's Existing Impact,Coursera,aiexistingimpact,Free / Paid,University Faculty,4.909090909,11,26,Intermediate
AI & ML Applications in Oil and Gas Industry,Coursera,aiml-applications-in-oil-and-gas-industry,Free / Paid,Google Cloud,4.807692308,52,43,Advanced
Online Course,Coursera,aiops-aws,Free / Paid,DeepLearning.AI,3.6,47452,20,Intermediate
"Air Conditioning Equipment Selection, Design and Sizing",Coursera,air-conditioning-equipment-selection--design-and-sizing,Free / Paid,Andrew Ng,4.416666667,12,18,Intermediate
Air Pollution â a Global Threat to our Health,Coursera,air-pollution-health-threat,Free / Paid,Industry Expert,4.76871207,1483,44,Advanced
Online Course,Coursera,airbus-demand-forecasting-and-inventory-management,Free / Paid,Jose Portilla,3.5,335513,55,Advanced
Online Course,Coursera,airbus-procurement-strategies,Free / Paid,DeepLearning.AI,3.9,214921,44,Advanced
Online Course,Coursera,airbus-supply-chain-sustainability,Free / Paid,Microsoft Learn,4.6,285666,40,Advanced
Online Course,Coursera,airbus-understanding-global-supply-chains,Free / Paid,Andrew Ng,4.4,72457,13,Intermediate
Online Course,Coursera,airport-construction,Free / Paid,DeepLearning.AI,4.3,254188,21,Intermediate
Online Course,Coursera,airport-infrastructure,Free / Paid,University Faculty,4.5,178539,42,Advanced
Online Course,Coursera,airs-analyzing-job-needs-and-creating-job-postings,Free / Paid,Andrew Ng,4.5,484442,17,Intermediate
Certificate Overview and Introduction to Recruiting,Coursera,airs-certificate-overview-and-intro-to-recruiting,Free / Paid,Industry Expert,4.605263158,38,22,Intermediate
Online Course,Coursera,airs-consultative-approach-working-with-recruiters,Free / Paid,Google Cloud,4.8,356403,57,Advanced
Online Course,Coursera,airs-coordinating-and-conducting-interviews,Free / Paid,DeepLearning.AI,3.9,349446,5,Beginner
Effective Onboarding,Coursera,airs-effective-onboarding,Free / Paid,Meta AI,4.461538462,13,40,Advanced
Online Course,Coursera,airs-evaluating-candidates-and-managing-the-offer-process,Free / Paid,Meta AI,4.2,296426,58,Advanced
Interviewing Best Practices,Coursera,airs-interviewing-best-practices,Free / Paid,Meta AI,4.076923077,26,6,Beginner
Recruiting Fundamentals,Coursera,airs-recruiting-fundamentals,Free / Paid,IBM Team,5,10,11,Intermediate
Online Course,Coursera,airs-sourcing-and-screening-applicants,Free / Paid,IBM Team,4.8,20566,17,Intermediate
Online Course,Coursera,airs-tracking-and-reporting,Free / Paid,DeepLearning.AI,4.4,261282,43,Advanced
Online Course,Coursera,airs-understanding-diversity--inclusion,Free / Paid,Industry Expert,4.4,367096,36,Advanced
Online Course,Coursera,airside-facility-planning,Free / Paid,Google Cloud,4.6,317757,20,Intermediate
AIX Operating System Fundamentals,Coursera,aix-basics,Free / Paid,Google Cloud,4.533333333,15,50,Advanced
Ajax Basics,Coursera,ajax-basics,Free / Paid,University Faculty,4.2,10,38,Advanced
Online Course,Coursera,ajax-for-web-developers,Free / Paid,Meta AI,3.9,437533,18,Intermediate
Online Course,Coursera,ajukan-pertanyaan-untuk-mengambil-keputusan-berdasarkan-data,Free / Paid,Meta AI,4.9,343278,6,Beginner
Online Course,Coursera,ajustes-razonables,Free / Paid,Andrew Ng,4.2,73871,32,Advanced
Akademiskt skrivande,Coursera,akademiskt-skrivande,Free / Paid,DeepLearning.AI,4.55,20,27,Intermediate
Managing Relational Databases,Coursera,akamai-databases,Free / Paid,DeepLearning.AI,4.724137931,29,42,Advanced
Networking Fundamentals,Coursera,akamai-networking,Free / Paid,Meta AI,4.643835616,146,32,Advanced
Operating Systems Fundamentals,Coursera,akamai-operating-systems,Free / Paid,Meta AI,4.732824427,131,30,Intermediate
Python Scripting Fundamentals,Coursera,akamai-programming,Free / Paid,Meta AI,4.576923077,26,26,Intermediate
Introduction to IT Security,Coursera,akamai-security,Free / Paid,University Faculty,4.904761905,21,27,Intermediate
Introduction to Web Applications,Coursera,akamai-web-apps,Free / Paid,Meta AI,4.68,25,31,Advanced
Alexander Technique: Balanced Posture for Ease and Comfort,Coursera,alexander-technique,Free / Paid,Microsoft Learn,4.416666667,12,18,Intermediate
"AlfabetizaÃ§Ã£o MidiÃ¡tica, Informacional e DiÃ¡logo Intercultural - UNESCO e UNICAMP",Coursera,alfabetizacao-midiatica,Free / Paid,DeepLearning.AI,4.879120879,91,42,Advanced
La alfabetizaciÃ³n temprana en contextos rurales ,Coursera,alfabetizacion-temprana-contextos-rurales,Free / Paid,Andrew Ng,4.865740741,216,59,Advanced
Introduction to Algae,Coursera,algae,Free / Paid,Google Cloud,4.749598716,1246,26,Intermediate
Algae Biotechnology,Coursera,algae-biotechnology,Free / Paid,Andrew Ng,4.77471637,617,21,Intermediate
Algebra and Differential Calculus for Data Science,Coursera,algebra-and-differential-calculus-for-data-science,Free / Paid,University Faculty,4.553435115,262,16,Intermediate
Ãlgebra bÃ¡sica,Coursera,algebra-basica,Free / Paid,Jose Portilla,4.764130435,3680,57,Advanced
Algebra: Elementary to Advanced - Equations & Inequalities,Coursera,algebra-i,Free / Paid,Industry Expert,4.774244833,629,43,Advanced
Online Course,Coursera,algebra-ii,Free / Paid,Microsoft Learn,4.3,2397,35,Advanced
Online Course,Coursera,algorithmic-bias-teach-out,Free / Paid,Jose Portilla,4.3,124850,47,Advanced
Online Course,Coursera,algorithmic-fairness,Free / Paid,Google Cloud,4.4,164504,42,Advanced
"Algorithmic Solutions: Design, Problem Solving, Reporting",Coursera,algorithmic-solutions-design-problem-solving-reporting,Free / Paid,Meta AI,4.423076923,26,21,Intermediate
Algorithmic Thinking (Part 1),Coursera,algorithmic-thinking-1,Free / Paid,Microsoft Learn,4.622395833,384,21,Intermediate
Algorithmic Thinking (Part 2),Coursera,algorithmic-thinking-2,Free / Paid,Andrew Ng,4.675799087,219,7,Beginner
Algorithmic Toolbox,Coursera,algorithmic-toolbox,Free / Paid,Andrew Ng,4.610907643,12560,11,Intermediate
Online Course,Coursera,algorithms,Free / Paid,IBM Team,4.6,33863,18,Intermediate
Online Course,Coursera,algorithms-data-collection-code,Free / Paid,Google Cloud,4.3,65013,8,Beginner
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Coursera,algorithms-divide-conquer,Free / Paid,Industry Expert,4.762495303,5322,23,Intermediate
"Graph Search, Shortest Paths, and Data Structures",Coursera,algorithms-graphs-data-structures,Free / Paid,Jose Portilla,4.827154309,1996,17,Intermediate
"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Coursera,algorithms-greedy,Free / Paid,Microsoft Learn,4.842229199,1274,15,Intermediate
"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",Coursera,algorithms-npcomplete,Free / Paid,Google Cloud,4.832125604,828,38,Advanced
Algorithms on Graphs,Coursera,algorithms-on-graphs,Free / Paid,DeepLearning.AI,4.735035211,2272,45,Advanced
Algorithms on Strings,Coursera,algorithms-on-strings,Free / Paid,Microsoft Learn,4.500459137,1089,38,Advanced
"Algorithms, Part I",Coursera,algorithms-part1,Free / Paid,Jose Portilla,4.857798548,11983,56,Advanced
"ÐÐ»Ð³Ð¾ÑÐ¸ÑÐ¼Ñ, ÑÐ°ÑÑÑÂ I",Coursera,algorithms-part1-ru,Free / Paid,Industry Expert,4.843373494,83,12,Intermediate
"Algorithms, Part II",Coursera,algorithms-part2,Free / Paid,Industry Expert,4.913277805,2041,41,Advanced
"Algorithms for Searching, Sorting, and Indexing",Coursera,algorithms-searching-sorting-indexing,Free / Paid,Meta AI,4.669829222,527,35,Advanced
Algoritmos de negociaciÃ³n basados en machine learningâ,Coursera,algoritmos-de-negociacion-basados-en-machine-learning,Free / Paid,Andrew Ng,4.789473684,38,15,Intermediate
Cloud Computing Fundamentals on Alibaba Cloud,Coursera,alibaba-cloud-computing,Free / Paid,Microsoft Learn,4.73,100,16,Intermediate
Protecting Cloud Architecture with Alibaba Cloud,Coursera,alibaba-cloud-security-solutions,Free / Paid,Industry Expert,4.693548387,62,60,Advanced
Online Course,Coursera,alibaba-developer,Free / Paid,Andrew Ng,3.7,403229,17,Intermediate
Online Course,Coursera,alibaba-devops,Free / Paid,Google Cloud,4.4,451747,32,Advanced
Online Course,Coursera,alibaba-system-operator,Free / Paid,Jose Portilla,3.6,340122,36,Advanced
Online Course,Coursera,alibabacloudbigdata,Free / Paid,Meta AI,4.2,106589,12,Intermediate
Online Course,Coursera,align-ai-ethics-strategy--excellence,Free / Paid,Industry Expert,3.6,219684,5,Beginner
Online Course,Coursera,align-ai-finance-strategy-and-funding,Free / Paid,Jose Portilla,3.6,320372,54,Advanced
